step,time_s,x_m,y_m,distance_to_goal_m,clearance_to_inflated_occupancy_m,h,gradient_x,gradient_y,u_nom_x,u_nom_y,u_safe_x,u_safe_y,u_nom_norm,u_safe_norm,intervention_norm,cbf_residual,explicit_cbf_residual,solver_status,solve_time_s,was_filtered,integration_dt_s,integration_backtracks,collision
0,0.0,0.35,1.5,3.3,0.12711864406779644,0.017506695599481426,0.059015280133248416,0.15555759641627737,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.08202772686506848,0.08202772686506848,optimal,8.723000064492226e-06,False,0.02,0,False
1,0.02,0.36,1.5,3.29,0.12822366889044487,0.018170105452594083,0.06780622478321655,0.1513974446475835,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.08841342874939052,0.08841342874939052,optimal,6.1780010582879186e-06,False,0.02,0,False
2,0.04,0.37,1.5,3.28,0.1302076907311091,0.019084962504354652,0.07624150728443484,0.1425616288345597,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.09537564115528138,0.09537564115528138,optimal,4.9390000640414655e-06,False,0.02,0,False
3,0.06,0.38,1.5,3.27,0.1321917125717733,0.01999981955611522,0.0846767897856531,0.13372581302153594,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.1023378535611722,0.1023378535611722,optimal,4.707995685748756e-06,False,0.02,0,False
4,0.08,0.39,1.5,3.26,0.13417573441243758,0.02091467660787579,0.09311207228687138,0.12488999720851211,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.10930006596706306,0.10930006596706306,optimal,4.94599953526631e-06,False,0.02,0,False
5,0.1,0.4,1.5,3.25,0.13615975625310178,0.02182953365963635,0.10154735478808963,0.11605418139548836,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.11626227837295386,0.11626227837295386,optimal,4.782996256835759e-06,False,0.02,0,False
6,0.12,0.41000000000000003,1.5,3.2399999999999998,0.13971307335731087,0.02288590323553271,0.10929385002087387,0.10901756406386463,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.12330463471703507,0.12330463471703507,optimal,4.74600528832525e-06,False,0.02,0,False
7,0.14,0.42000000000000004,1.5,3.23,0.14487592406515581,0.024087413861824766,0.11633389677321307,0.10382627850803575,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.13042918997208083,0.13042918997208083,optimal,4.863999492954463e-06,False,0.02,0,False
8,0.16,0.43000000000000005,1.5,3.2199999999999998,0.15003877477300068,0.025288924488116808,0.1233739435255522,0.09863499295220692,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.13755374522712652,0.13755374522712652,optimal,4.672998329624534e-06,False,0.02,0,False
9,0.18,0.44000000000000006,1.5,3.21,0.15520162548084554,0.02649043511440885,0.13041399027789133,0.09344370739637808,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.14467830048217223,0.14467830048217223,optimal,4.676003300119191e-06,False,0.02,0,False
10,0.2,0.45000000000000007,1.5,3.1999999999999997,0.16036447618869043,0.027691945740700892,0.13745403703023046,0.0882524218405493,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.1518028557372179,0.1518028557372179,optimal,4.6959976316429675e-06,False,0.02,0,False
11,0.22,0.4600000000000001,1.5,3.19,0.16516313827844328,0.029076911136331936,0.14480032666016246,0.08117089309280275,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.15963089673907704,0.15963089673907704,optimal,5.104004230815917e-06,False,0.02,0,False
12,0.24,0.4700000000000001,1.5,3.1799999999999997,0.16947978602072133,0.03070468431491167,0.15255193774573206,0.07158757188516507,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.16839002181760104,0.16839002181760104,optimal,4.913999873679131e-06,False,0.02,0,False
13,0.26,0.4800000000000001,1.5,3.17,0.1737964337629994,0.03233245749349139,0.16030354883130163,0.06200425067752748,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,0.0,0.17714914689612496,0.17714914689612496,optimal,4.603003617376089e-06,False,0.02,0,False
14,0.28,0.4900000000000001,1.5,3.1599999999999997,0.17811308150527747,0.0339602306720711,0.1680551599168712,0.05242092946988988,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.1859082719746489,0.1859082719746489,optimal,4.524998075794429e-06,False,0.02,0,False
15,0.3,0.5000000000000001,1.5,3.15,0.18242972924755552,0.03558800385065082,0.17580677100244074,0.042837608262252296,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.19466739705317282,0.19466739705317282,optimal,4.627996531780809e-06,False,0.02,0,False
16,0.32,0.5100000000000001,1.5,3.1399999999999997,0.1866109527776028,0.03734745564877247,0.18281170137267594,0.03266775933134463,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.20344821763265536,0.20344821763265536,optimal,4.602996341418475e-06,False,0.02,0,False
17,0.34,0.5200000000000001,1.5,3.13,0.19055868628656245,0.039333939549552575,0.18852925119923114,0.021486655705144034,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.2122664442482733,0.2122664442482733,optimal,4.692999937105924e-06,False,0.02,0,False
18,0.36,0.5300000000000001,1.5,3.1199999999999997,0.19450641979552208,0.041320423450332676,0.1942468010257863,0.010305552078943429,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.22108467086389116,0.22108467086389116,optimal,4.483998054638505e-06,False,0.02,0,False
19,0.38,0.5400000000000001,1.5,3.11,0.19845415330448174,0.04330690735111277,0.1999643508523415,-0.0008755515472571689,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.22990289747950907,0.22990289747950907,optimal,4.763998731505126e-06,False,0.02,0,False
20,0.4,0.5500000000000002,1.5,3.0999999999999996,0.20240188681344135,0.04529339125189287,0.20568190067889663,-0.012056655173457772,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.23872112409512694,0.23872112409512694,optimal,4.661000275518745e-06,False,0.02,0,False
21,0.42,0.5600000000000002,1.5,3.09,0.2069150247292795,0.04734679616491569,0.2105653912463757,-0.02313416348651796,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.2473230841179349,0.2473230841179349,optimal,4.526002157945186e-06,False,0.02,0,False
22,0.44,0.5700000000000002,1.5,3.0799999999999996,0.2127238810775474,0.04955356173099466,0.2135374960118053,-0.03397426587363106,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.2554294331988866,0.2554294331988866,optimal,4.549998266156763e-06,False,0.02,0,False
23,0.46,0.5800000000000002,1.5,3.07,0.21853273742581522,0.05176032729707364,0.21650960077723486,-0.044814368260744156,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.2635357822798383,0.2635357822798383,optimal,4.695000825449824e-06,False,0.02,0,False
24,0.48,0.5900000000000002,1.5,3.0599999999999996,0.22434159377408305,0.05396709286315261,0.21948170554266447,-0.055654470647857265,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.2716421313607901,0.2716421313607901,optimal,4.601999535225332e-06,False,0.02,0,False
25,0.5,0.6000000000000002,1.5,3.05,0.23015045012235097,0.056173858429231616,0.22245381030809408,-0.06649457303497047,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.2797484804417419,0.2797484804417419,optimal,4.582005203701556e-06,False,0.02,0,False
26,0.52,0.6100000000000002,1.5,3.0399999999999996,0.23594186898705344,0.05840003068409952,0.224846083204847,-0.07714061083470343,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.28762313365472203,0.28762313365472203,optimal,6.061003659851849e-06,False,0.02,0,False
