step,time_s,x_m,y_m,distance_to_goal_m,h,clearance_to_inflated_occupancy_m,u_nom_x,u_nom_y,u_nom_norm,collision
0,0.0,0.35,1.5,3.3,0.013093601389962187,0.15185359550075012,0.5,0.0,0.5,False
1,0.02,0.36,1.5,3.29,0.012974710475617685,0.14694777882669058,0.5,0.0,0.5,False
2,0.04,0.37,1.5,3.28,0.01254676607725704,0.13814737936491714,0.5,0.0,0.5,False
3,0.06,0.38,1.5,3.27,0.0121188216788964,0.12934697990314376,0.5,0.0,0.5,False
4,0.08,0.39,1.5,3.26,0.011690877280535753,0.12054658044137032,0.5,0.0,0.5,False
5,0.1,0.4,1.5,3.25,0.011262932882175114,0.1117461809795969,0.5,0.0,0.5,False
6,0.12,0.41000000000000003,1.5,3.2399999999999998,0.010404188173599695,0.10279601825388544,0.5,0.0,0.5,False
7,0.14,0.42000000000000004,1.5,3.23,0.009103596993009116,0.09369225218054511,0.5,0.0,0.5,False
8,0.16,0.43000000000000005,1.5,3.2199999999999998,0.007803005812418547,0.08458848610720483,0.5,0.0,0.5,False
9,0.18,0.44000000000000006,1.5,3.21,0.006502414631827979,0.07548472003386458,0.5,0.0,0.5,False
10,0.2,0.45000000000000007,1.5,3.1999999999999997,0.00520182345123741,0.06638095396052432,0.5,0.0,0.5,False
11,0.22,0.4600000000000001,1.5,3.19,0.004081797041922527,0.0581546838980983,0.5,0.0,0.5,False
12,0.24,0.4700000000000001,1.5,3.1799999999999997,0.0032007534181195695,0.051089805614823396,0.49999999999999994,0.0,0.49999999999999994,False
13,0.26,0.4800000000000001,1.5,3.17,0.00231970979431662,0.04402492733154856,0.49999999999999994,0.0,0.49999999999999994,False
14,0.28,0.4900000000000001,1.5,3.1599999999999997,,0.036960049048273706,0.0,0.0,0.0,True
