version_id,submitted_time_s,completed_time_s,solve_wall_time_s,pipeline_from_submit_s,forcing_method,solver,solve_cells,boundary_cells,poisson_residual_max_abs,accepted,numerically_valid,obsolete,status
1,5208.434615379,5208.856701113,0.3154731320000792,0.42208573399966554,constant,conjugate_gradient,2181,287,3.410974969142444e-07,True,True,False,unknown
2,5208.863898454,5208.917837523,0.029926831999546266,0.05393906900008005,constant,conjugate_gradient,2209,283,3.652093099049125e-07,True,True,False,unknown
3,5208.936658007,5208.989166006,0.030982119999862334,0.052507999000226846,constant,conjugate_gradient,2186,286,3.11462859503564e-07,True,True,False,unknown
4,5208.996054331,5209.048595242,0.02975640300064697,0.05254091100050573,constant,conjugate_gradient,2188,286,3.4745934129887246e-07,True,True,False,unknown
5,5209.055633929,5209.109271332,0.030527488000188896,0.05363740300072095,constant,conjugate_gradient,2218,282,3.343498136132439e-07,True,True,False,unknown
6,5209.115797619,5209.174543645,0.029882723999435257,0.058746026000335405,constant,conjugate_gradient,2196,283,3.7499303573440557e-07,True,True,False,unknown
7,5209.18179057,5209.235774381,0.02943101700020634,0.05398381099985272,constant,conjugate_gradient,2216,280,3.4986693364658095e-07,True,True,False,unknown
8,5209.241996304,5209.295144378,0.03046387699941988,0.05314807400009158,constant,conjugate_gradient,2192,285,3.496695324400889e-07,True,True,False,unknown
9,5209.301850307,5209.353387014,0.029232517999844276,0.05153670700019575,constant,conjugate_gradient,2211,283,3.377469610654771e-07,True,True,False,unknown
10,5209.360833476,5209.411027855,0.027704126000571705,0.05019437899954937,constant,conjugate_gradient,2190,284,3.6753162646618875e-07,True,True,False,unknown
11,5209.4175029,5209.472146833,0.02734965000036027,0.054643933000079414,constant,conjugate_gradient,2198,284,3.6144331083676207e-07,True,True,False,unknown
12,5209.479826922,5209.533646345,0.030020942999726685,0.05381942300027731,constant,conjugate_gradient,2209,282,3.1793983179539964e-07,True,True,False,unknown
13,5209.542438428,5209.597758536,0.0320476429997143,0.05532010799925047,constant,conjugate_gradient,2202,284,3.0059698286066805e-07,True,True,False,unknown
14,5209.604668549,5209.653238921,0.027190615000108664,0.04857037199963088,constant,conjugate_gradient,2199,285,3.967130766113769e-07,True,True,False,unknown
15,5209.660476042,5209.713349717,0.0311030179991576,0.052873675000228104,constant,conjugate_gradient,2203,283,3.708603415475409e-07,True,True,False,unknown
16,5209.719857682,5209.781451958,0.03731099000015092,0.06159427599959599,constant,conjugate_gradient,2203,283,3.170061120272294e-07,True,True,False,unknown
17,5209.788221944,5209.84012986,0.028077479000785388,0.05190791600034572,constant,conjugate_gradient,2201,283,3.194207920387271e-07,True,True,False,unknown
18,5209.846152868,5209.900520448,0.03184403500017652,0.05436757999996189,constant,conjugate_gradient,2198,285,3.754162349878243e-07,True,True,False,unknown
19,5209.906213067,5209.959368548,0.027331473999765876,0.05315548100043088,constant,conjugate_gradient,2187,286,3.5091162686740063e-07,True,True,False,unknown
20,5209.965823873,5210.064553782,0.07689892000053078,0.0987299090002125,constant,conjugate_gradient,2202,282,4.061647587150219e-07,True,True,False,unknown
21,5210.070945897,5210.12044725,0.027350892999493226,0.04950135300077818,constant,conjugate_gradient,2199,283,3.9091511894184805e-07,True,True,False,unknown
22,5210.127304387,5210.182371182,0.03062875100022211,0.05506679500012979,constant,conjugate_gradient,2187,285,3.431961630440128e-07,True,True,False,unknown
23,5210.189023675,5210.24283832,0.030663407999782066,0.05381464500078437,constant,conjugate_gradient,2195,285,2.927197257918124e-07,True,True,False,unknown
24,5210.249803971,5210.301618902,0.02958630200009793,0.05181493100008083,constant,conjugate_gradient,2197,285,2.994976426862195e-07,True,True,False,unknown
25,5210.307977306,5210.361616,0.02958712200052105,0.05363869400025578,constant,conjugate_gradient,2195,285,3.1792053079016114e-07,True,True,False,unknown
