step,time_s,x_m,y_m,distance_to_goal_m,h,clearance_to_inflated_occupancy_m,u_nom_x,u_nom_y,u_nom_norm,collision
0,0.0,0.4,3.8,6.158733636065128,0.09417993640981842,0.5614135965445961,0.6754635361463469,-0.42865955178518167,0.8,False
1,0.02,0.413509270722927,3.7914268089642964,6.142733636065128,0.09484446457375559,0.5467497149921189,0.6754635361463469,-0.4286595517851817,0.8000000000000002,False
2,0.04,0.42701854144585394,3.782853617928593,6.126733636065128,0.09548452472873858,0.5320130072534162,0.6754635361463468,-0.42865955178518167,0.8,False
3,0.06,0.4405278121687809,3.7742804268928896,6.110733636065129,0.09610011687476738,0.5172034733284878,0.6754635361463468,-0.4286595517851817,0.8,False
4,0.08,0.45403708289170785,3.765707235857186,6.094733636065128,0.09605247722945869,0.5023707373848628,0.6754635361463468,-0.4286595517851818,0.8,False
5,0.1,0.4675463536146348,3.7571340448214827,6.078733636065128,0.0958861325388222,0.48745340245558433,0.6754635361463468,-0.4286595517851818,0.8,False
6,0.12,0.48105562433756177,3.7485608537857793,6.062733636065129,0.09568492386484913,0.4724437712135817,0.6754635361463467,-0.4286595517851817,0.7999999999999999,False
7,0.14,0.49456489506048873,3.739987662750076,6.046733636065129,0.0954488512075395,0.45734184365885494,0.6754635361463468,-0.42865955178518184,0.8,False
8,0.16,0.5080741657834157,3.7314144717143725,6.030733636065129,0.09495480400288704,0.44327106150231316,0.6754635361463469,-0.4286595517851819,0.8000000000000003,False
9,0.18,0.5215834365063426,3.722841280678669,6.014733636065129,0.09382709167319836,0.42926333992684557,0.6754635361463467,-0.42865955178518184,0.7999999999999999,False
10,0.2,0.5350927072292696,3.7142680896429656,5.998733636065129,0.0926547419669945,0.41521258163697644,0.6754635361463468,-0.42865955178518184,0.8,False
11,0.22,0.5486019779521966,3.705694898607262,5.98273363606513,0.09143775488427547,0.4011187866327059,0.6754635361463467,-0.4286595517851819,0.8,False
12,0.24,0.5621112486751235,3.697121707571559,5.966733636065129,0.09017613042504125,0.38698195491403387,0.6754635361463467,-0.4286595517851819,0.8,False
13,0.26,0.5756205193980505,3.6885485165358554,5.950733636065129,0.08845577633062647,0.3728086040946815,0.6754635361463466,-0.42865955178518195,0.7999999999999999,False
14,0.28,0.5891297901209774,3.679975325500152,5.93473363606513,0.08631983044351249,0.3585850626913094,0.6754635361463467,-0.42865955178518195,0.8,False
15,0.3,0.6026390608439044,3.6714021344644485,5.91873363606513,0.08411069149954341,0.34438167360720606,0.6754635361463467,-0.428659551785182,0.8,False
16,0.32,0.6161483315668314,3.662828943428745,5.902733636065129,0.08183753288455803,0.3306932196629727,0.6754635361463466,-0.428659551785182,0.8,False
17,0.34,0.6296576022897583,3.6542557523930417,5.88673363606513,0.07951744635025154,0.3176026954635752,0.6754635361463467,-0.4286595517851821,0.8000000000000002,False
18,0.36,0.6431668730126853,3.6456825613573383,5.87073363606513,0.07645091385060435,0.30420154803994626,0.6754635361463467,-0.42865955178518206,0.8,False
19,0.38,0.6566761437356122,3.637109370321635,5.854733636065131,0.07322105445473522,0.29069227731701935,0.6754635361463466,-0.42865955178518206,0.8,False
20,0.4,0.6701854144585392,3.6285361792859314,5.83873363606513,0.0699438205410634,0.27718300659409234,0.6754635361463465,-0.4286595517851821,0.7999999999999999,False
21,0.42,0.6836946851814661,3.6199629882502276,5.82273363606513,0.06661921210958902,0.2636737358711655,0.6754635361463466,-0.4286595517851821,0.8,False
22,0.44,0.6972039559043931,3.6113897972145237,5.80673363606513,0.06309304320742266,0.2496751078802647,0.6754635361463466,-0.42865955178518206,0.8,False
